ID,Severity,Confidence,Category,Component,File,Commit,Finding,Impact,Remediation,Release_Blocker,Status
"PUB-001","HIGH","High","Privacy","Activity albums","public/resources/METC/活动成果展览/**","0a0265c; current f23bfd9","At least 79 original activity images across six albums include identifiable people; visual review confirmed recognizable elementary-age students in five in-person school albums and identifiable adults in the online album. No consent ledger is present in the repository.","Public Git history would permanently associate identifiable children with schools and classroom activities; publication may violate consent or safeguarding expectations.","Obtain and record explicit publication authorization per image/person or remove/anonymize the affected media; review both current content and history.","YES","OPEN"
"PUB-002","HIGH","High","Privacy/Metadata","Activity image EXIF","public/resources/METC/活动成果展览/{上步小学,梅丽小学}/**","0a0265c; current f23bfd9","Seventeen current images contain GPSLatitude and GPSLongitude EXIF fields; dates, device details, and host-computer metadata also occur.","A public clone permits extraction of precise capture locations linked to children, schools, and dates.","Strip sensitive EXIF from approved derivatives, replace the committed blobs, and remove the original metadata-bearing blobs from reachable history.","YES","OPEN"
"PUB-003","HIGH","High","Privacy","Client contact content","content/en.ts; content/zh.ts","5f72675; current f23bfd9","Three named student leaders are published with unique school email addresses whose local parts contain student-number identifiers; the values are embedded in browser output.","Public source and bundles facilitate harvesting, profiling, phishing, and student-ID correlation.","Use role-based aliases or obtain documented consent; remove/redact current and historical personal addresses if not expressly approved.","YES","OPEN"
"PUB-004","HIGH","High","Data Exposure","Raw public resource corpus","public/resources/**","0a0265c; 3f2b7e7; current f23bfd9","The R2 migration deletion in 522861a did not survive integration: origin/main still contains 411 public-resource files, about 483 MiB of regular Git blobs plus 472 MiB of LFS payloads, including originals, Office sources, PDFs, HEIC, photos, and video.","Making the repository public exposes the complete raw corpus; enabling GitHub Pages would also copy regular public/ resources into the site artifact, contrary to documentation that says resources are R2-only.","Define a public-content allowlist, move private/raw sources outside the public repository and public/ tree, repair generation paths, and clean reachable Git/LFS history.","YES","OPEN"
"DEPLOY-001","HIGH","Medium","Deployment/Vercel","GitHub environments and Vercel integration","External configuration","N/A","GitHub records 28 Vercel-style bot deployments across multiple Preview and Production environment variants; those environments have no protection rules. Fork-PR deployment approval and Vercel environment-variable scoping could not be verified.","After publication, an external PR could become a secret-exfiltration or malicious-preview path if any linked Vercel project builds fork code with privileged variables.","Inventory and remove duplicate Vercel projects, disable or require approval for fork previews, scope Preview variables to non-privileged values, protect Production, and test with a benign fork before release.","YES","MANUAL VERIFICATION REQUIRED"
"META-001","MEDIUM","High","Privacy/Metadata","Office and PDF resources","public/resources/METC/课程设计/**","0c8e9c7; b34e79e; current f23bfd9","Thirteen of 17 current OOXML source files contain non-generic creator or last-modified identities; eight generated/source PDFs contain Author fields and all 16 unique PDFs contain other metadata. No comments, tracked changes, macros, embedded objects, form fields, or executable PDF JavaScript were confirmed.","Personal author identities and workstation history become searchable and permanently attributable in public Git/LFS history.","Review and scrub approved Office/PDF metadata, regenerate previews from scrubbed sources, and clean old Git/LFS objects if identities are not approved for publication.","YES","OPEN"
"GIT-PII-001","MEDIUM","High","Git Privacy","Commit metadata","All reachable commits","multiple","Of 123 reachable commits, 120 use non-noreply author addresses: consumer-mail domains or a local workstation hostname across three identities.","Public Git history exposes personal addresses and a machine-name identifier to scraping and phishing.","Obtain author consent or rewrite author metadata to approved noreply/organizational identities before publication; configure future contributors to use noreply addresses.","YES","OPEN"
"APP-001","MEDIUM","High","Client XSS","Remote syllabus rendering","components/teaching/course-syllabus.tsx","0c8e9c7; current f23bfd9","The browser fetches HTML from the public R2 host and injects it with dangerouslySetInnerHTML. The generation sanitizer is allowlist-based, but there is no runtime sanitizer or CSP and an out-of-band R2 replacement bypasses generation.","Compromise or misconfiguration of R2 write access could turn a syllabus object into stored DOM XSS on the site origin.","Verify anonymous writes are impossible; integrity-control the publishing pipeline; sanitize fetched markup at runtime or render structured data; deploy a restrictive CSP where supported.","NO","OPEN"
"CI-001","MEDIUM","High","CI/Supply Chain","GitHub Pages workflow",".github/workflows/deploy.yml","74efe5c; 7fc3fa0; current f23bfd9","The build job inherits pages:write and id-token:write, installs with npm without the tracked pnpm lockfile, uses semver ranges, and references action major tags rather than commit SHAs. Repository Actions permit all actions and do not require SHA pinning.","A registry/action compromise or trusted-main compromise receives unnecessary deployment/OIDC capability and produces a non-reproducible build.","Give build contents:read only; grant Pages/OIDC only to deploy; restore pnpm frozen-lockfile; pin actions to reviewed SHAs; restrict allowed actions.","NO","OPEN"
"DEP-001","MEDIUM","High","Dependencies","Next.js build/runtime dependency graph","package.json; pnpm-lock.yaml","current f23bfd9","pnpm audit reported 0 critical, 9 high, and 7 moderate advisories in next 16.2.10 and transitive sharp, postcss, and nanoid. The audited static app has no Server Actions, middleware, dynamic image optimization, or untrusted CSS processing, so the high advisory paths were not practically reachable in the deployed architecture.","Known vulnerable versions increase future risk and build-time exposure if the architecture or content pipeline changes.","Update to patched Next.js and transitive versions, regenerate the lockfile, rerun build/typecheck/audit, and keep automated dependency alerts enabled.","NO","OPEN"
